post_url,caption,likes,commenters,hashtags,image_url
https://www.instagram.com/virat.kohli/reel/DGNBrUFtrmG/,Open your NR account in just 4 hours with HSBC’s NRI services and transfer money fee free* with your HSBC India Mobile Banking app. To open your NRI Account with HSBC click here– https://grp.hsbc/vk_nr *T&C Apply. Visit www.hsbc.co.in for more details.,732621,"['virat.kohli', 'kaushal.7169', 'izaan_ahmed_7997', 'ankit_parjapat_2.0', 'mdsboy.111', 'total._cricket', 'rk_king_bihari1', 'thakor_vishal_s_789', 'thakor_vishal_s_789', 'akram17_18']","['#OpeningUpAWorldOfOpportunity', '#HSBCNRIServices', '#HSBCIndia']",https://instagram.fsxr1-1.fna.fbcdn.net/v/t51.2885-19/449421979_844663760918405_292851382204978226_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fsxr1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AGzY__ENxqgNLGfoQFqbcg7qAa62TxM43Ti0yJ6rNLMa6oU-UIJqzaJ0xIU7SSACGuSi3_mwHnFZ6zk5w7BXRt7&_nc_ohc=hcR2nSaXLBUQ7kNvgHgQEKv&_nc_gid=d7ce218ee6e0467ab09331f13f16df9e&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYA1Wy3kurpxi9WJv7isEFgXrwYM8OtdO-ss0Hqy_vejhw&oe=67C506CE&_nc_sid=d885a2
https://www.instagram.com/virat.kohli/reel/DGH46HlNs3P/,"Super proud to announce that O’cean Energy Drink Sustainable Edition bagged the ‘Best Brand Extension’ award at the Global Water Congress 2024. 🌍♻️ This fully recyclable can, created in partnership with @ballcorporation , is a reassuring nod to O’cean Beverages’ commitment to ecologically conscious production methods and a more sustainable future. @oceanbeverages To celebrate this win, we’re giving you the energy drink at 50% off for a limited time only. Order yours today on oceanbeverages.in.",755775,"['virat.kohli', 'crazy_boys_1004', 'philosopher143k', 'kingkhan7869251', 'hirajaji11', 'hirajaji11', 'hirajaji11', 'hirajaji11', 'anisa_khan_g', 'hirajaji11']","['#RecyclesForever', '#EnergyDrink', '#oceanbeverages', '#sustainable', '#ocean', '#plantbased', '#SustainableLiving', '#OceanEnergyDrink']",https://instagram.fsxr1-1.fna.fbcdn.net/v/t51.2885-19/451349093_1175028317121128_4870123857349345026_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fsxr1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AGF2_kU4ZBq7rs3iO6to2P1fq2T7cSildVzmDBpEdUeC-hhohvjeiuYmhxhzReW1Zu9R9LNBNSo0Tf9S4m7VTC6&_nc_ohc=8ppiKq-autsQ7kNvgGyaQ3B&_nc_gid=213dc501dba24edabb8f86f1923e9271&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBxrC8xXFPd8l26Ylk1pYE-ZKwQBS0cdurQ7pWGyYf8cw&oe=67C4FEF2&_nc_sid=d885a2
https://www.instagram.com/virat.kohli/reel/DGDXqJ-xrz2/,"Proud of my team, @team_bluerising, for an outstanding start to @e1series Season 2—winning the first final heat and securing third in the second. A solid performance in the world’s first all-electric raceboat championship. After a podium finish at the we are driven to keep the momentum going for the rest of the season. Up next: Race 02 E1 DOHA GP 21-22 February Let’s get another podium finish @saramisir @guedo.499!",693423,"['team_bluerising', 'o.sanjeet.tu', 'disha_202_', 'kingkhan7869251', 'viratkohliquote', '_sai_rell_07', 'aastha__raghav22', 't.mrahulgowda', 'imranpat84', 'chhotu_prajapti_18']","['#PAIDPARTNERSHIP', '#JeddahGP', '#OceanRacing', '#TEAMOWNER', '#TeamBlueRising', '#Season2']",https://instagram.fsxr1-1.fna.fbcdn.net/v/t51.2885-19/284955921_2971076516486628_867273344400345215_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fsxr1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AFABPFqmMmIdzD7Bikh4x-13K7eXXpMw_G2Zgd5c7doMBKoW7M0vZ91Mt7ZsdozMh8yoD-ksuGHVCYgFG7WIE3t&_nc_ohc=qdGVS5izVTcQ7kNvgFREWJo&_nc_gid=06b6b887536b45669d50d5354ed106b1&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDJyPONbOnDonnBHLcgsrHDcuxJ16wtWds36mKvmi82CQ&oe=67C50B26&_nc_sid=d885a2
https://www.instagram.com/virat.kohli/reel/DGAoD4lNFha/,"Jab crunchy snacking ka mood ho, toh le aao no palm oil wala Too Yumm! Karare Munchy Masala. 😋 Get yours now at your nearest stores or on leading e-commerce platforms! 🛒",462050,"['virat.kohli', 'kohli____fans__18', 'kohli____fans__18', 'kohli____fans__18', 'kohli____fans__18', 'kohli____fans__18', 'kohli____fans__18', 'kohli____fans__18', 'kingkhan7869251', 'viratkohliquote']","['#TooYumm', '#BakedNotFried', '#Masaledaar', '#GreatTaste', '#TooYummKarare', '#TooNahiTohKuchNahi', '#NoPalmOil']",https://instagram.fsxr1-1.fna.fbcdn.net/v/t51.2885-19/279385231_684086516148899_3406280973622287804_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fsxr1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AG6Di9lf1xBrx_qP2P7cFB1T1z5G_BAH_f3x_jU4KJOzaYHqjyd2rjx4x0h2YMxj4uyY3NTiTZc9LgYG8XC4his&_nc_ohc=hARmqmZt40kQ7kNvgEket_3&_nc_gid=8e4f02c21d814d619af3347cb881eeae&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYAwaRRchjFWGaAamSyK0fSeuydgBglwXnhdnWBjAH_nWw&oe=67C4E3BF&_nc_sid=d885a2
https://www.instagram.com/virat.kohli/reel/DF7AWzNtdLi/,"I am ready for an exclusive travel experience with my HSBC TravelOne Credit Card. Are you? Earn up to 2X reward points* on international spends, unlock attractive welcome benefits and get international & domestic lounge access - only with the HSBC TravelOne Credit Card. Get your card now! Apply now - https://grp.hsbc/vk_t1 For persons in India. Terms and Conditions Apply.",510215,"['virat.kohli', 'kingkhan7869251', 'm_a_h_i_m_321', 'm_a_h_i_m_321', 'm_a_h_i_m_321', 'itz_zala_priyanka', 'insti_star', 'mroshan3886', 'royal_kalpuu_0909']","['#HSBCCreditCard', '#HSBC', '#TravelInStyle', '#CreditCardPerks', '#BankSmartWithHSBC', '#OpeningUpAWorldOfOpportunity', '#HSBCTravelOneCreditCard', '#PackYourPerks', '#TravelWithVirat']",https://instagram.fsxr1-1.fna.fbcdn.net/v/t51.2885-19/449421979_844663760918405_292851382204978226_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fsxr1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AHUGo7__iQutaWkwRXTxxCTd6nDZWiIUIW6fD8VUdEa9JwT8u1ruCtqHLKoZA4jVvtqlafUjhJVgxR5zwUlmfoG&_nc_ohc=hcR2nSaXLBUQ7kNvgHgQEKv&_nc_gid=7f167d9f8be047488163be9e8a5258ca&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBUnSESfcCT9bnNBW5NY9z_YDdwJy_XHeXgfAKp7MuTwg&oe=67C506CE&_nc_sid=d885a2
https://www.instagram.com/virat.kohli/p/DF5To7sNbpH/,"Do you know O’cean has so many amazing fruit flavours to choose from? Do you also know you can now scan the QR code on the bottle to get your hands on super cool prizes? What you waiting for? Quick, pick your flavour to hydrate, scan and win. @oceanbeverages Available at your nearest stores, leading e-commerce platforms, and on www.oceanbeverages.in.🛒 @oceanbeverages",855244,"['oceanbeverages', 'virat.kohli', 'kingkhan7869251', 'nitishk1820', 'amritkumar3813', 'sarib.saad', 'golu________rao', 'riya0_369', 'hm__johan__01', 'spykarakhil']","['#SupremeHydration', '#BB', '#OceanBeverages', '#NaturalFlavours', '#FruitWater', '#ad', '#Win', '#Ocean', '#OceanFruitWater', '#Hydration', '#OceanDrinks']",https://instagram.fsxr1-1.fna.fbcdn.net/v/t51.2885-15/477024043_18490973452064508_9208967283624483379_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fsxr1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AFXtVyXXcpywPbatcWJ24ybIaV-dfwESBoorXCkM4gd9jVrGLnQzS9PwkihodTepUampLRDWqOWqGRPUJ0y115E&_nc_ohc=zvDVdFhNHYAQ7kNvgErogzK&_nc_gid=56251c3e34cf43a1960a56fa99e99809&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYD78NYkUZbfdy71YAWBwaieQaLAcDDOt1iuuX1-3z78Tg&oe=67C4EDA4&_nc_sid=d885a2
https://www.instagram.com/virat.kohli/p/DFzwax2tALD/,"Too Yumm! Karare — har crunch mein masaledaar punch! 👊 Baked, not fried, with zero palm oil and 100% great taste—so you can snack without a second thought! 🙌 Get yours now at your nearest stores or on leading e-commerce platforms! 🛒",623221,"['virat.kohli', 'its__yadav__ji__143____', 'luxurykulture', 'aadil.yatoo.50', 'im.sam.khan.008', 'hm__johan__01', 'mukherjee_99770', 'sunilnagarwal8572', 'rahul_.xo03', 'akash_c25']","['#TooYumm', '#BakedNotFried', '#Masaledaar', '#GreatTaste', '#TooYummKarare', '#TooNahiTohKuchNahi', '#NoPalmOil']",https://instagram.fsxr1-1.fna.fbcdn.net/v/t51.2885-15/476902327_18490602259064508_6127789963540810705_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fsxr1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AGo7-vgUk5_T9HmMqRJdXsBB5Wd7nMi6tBXtscxUg1zSaSdJmw5CL6NPcbYvbCNLxKfJhAPHBSHYmPjq3G0f5Nw&_nc_ohc=cwLWbCGHlsQQ7kNvgG-ZWFX&_nc_gid=7193782c6ff5439c871bfbfab9aa20d5&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYAypdIH9FYrxvgGKb9613TV0CQTWCxDzAM8XNpv6O0bvw&oe=67C4DF01&_nc_sid=d885a2
https://www.instagram.com/virat.kohli/p/DFpgUj3tNIq/,"When Too Yumm! Multigrain Chips and Veggie Stix are baked, not fried, why feel guilty? 😋 With no palm oil & masaledaar flavour, it’s the ultimate snack to munch on! 🔥 Grab yours now at your nearest stores and leading e-commerce platforms—because good vibes (and snacks) shouldn’t wait! 🚀",546350,"['virat.kohli', 'poo_jarawat_02', 'kingkhan7869251', 'sk.art.2.1', 'aadil.yatoo.50', 'mukherjee_99770', 'chandankumarlal5', 'itz____sonu__99', 'niti.ndalak']","['#TooYumm', '#Masaledaar', '#Crunchy', '#TooYummVeggieStix', '#TooNahiTohKuchNahi', '#MultigrainChips', '#NoPalmOil', '#TooYummMultigrainChips', '#VeggieStix']",https://instagram.fsxr1-1.fna.fbcdn.net/v/t51.2885-15/476442725_18489947422064508_8096140122879297819_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fsxr1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AGgzD5Z_KiZr65gSuZDv3sYG1QIXvVZlf4GilYwepzbIJFeFTPfSSAo6-qDU9nHK2IP_jU_Agt_9JJ3LuWuDGiV&_nc_ohc=1rgIha0_I3cQ7kNvgG1nGB3&_nc_gid=49d2e261844c4b7fbaaeee3d5516a33d&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYAkdBHomCSsu-lgg0NdJ5lVjScWOuRXp8HANbYj-Zp_wg&oe=67C4FF33&_nc_sid=d885a2
https://www.instagram.com/virat.kohli/reel/DFm4rLit3qr/,"Grab O’cean’s new Green Apple flavour—small in size, big on taste and Vitamin C! Scan the QR code on the label and you could have a chance to win some exclusive O’cean merch and other amazing prizes. Go and order now!🍏 @oceanbeverages Available at your nearest stores, leading e-commerce platforms, and on www.oceanbeverages.in.🛒",671444,"['virat.kohli', 'poo_jarawat_02', 'dustu_cala_143', 'mousumisardar995', 'prince_tiwari_0112553', 'abut_alib_18', 'bapi.neon', 'dc.clothes01', 'itz____sonu__99', 'niti.ndalak']","['#OceanBeverages', '#NaturalFlavours', '#SuperHydration', '#FruitWater', '#NewFlavour', '#Ocean', '#GreenApple', '#ad', '#OceanFruitWater', '#Hydration', '#OceanDrinks']",https://instagram.fsxr1-1.fna.fbcdn.net/v/t51.2885-19/451349093_1175028317121128_4870123857349345026_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fsxr1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AEzD8gjQVtGMFj88sD9Cik7jfenY53pJ3PjMM-oJ-kMYAxSIJmGAXBCvLKWxqw7FZSNxWhf1qKfqDb-6NMVgIvq&_nc_ohc=8ppiKq-autsQ7kNvgGyaQ3B&_nc_gid=d842ab9466cd45d28db038ab984a2f56&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYCFFwS2IkEfqZsEmdOFwmA0DSShUr_0hcVZQaJGpWjVcw&oe=67C4FEF2&_nc_sid=d885a2
https://www.instagram.com/virat.kohli/reel/DFW8Xz7tGXa/,"Did you know your body gets just as dehydrated in winter as it does in summer? Which is why you need vitamin C and electrolyte packed O’cean Fruit Water. Amazing fruity flavours. Now with amazing prizes too. Available at your nearest stores, leading e-commerce platforms, and on www.oceanbeverages.in.🛒 @oceanbeverages",786866,"['virat.kohli', 'poo_jarawat_02', 'its_vivek__rao_1432', 'vaibhav_king__307', 'dustu_cala_143', 'kirandubey957', 'abut_alib_18', 'prince._umar', 'bishesar_nishad_4524']","['#SupremeHydration', '#OceanBeverages', '#NaturalFlavours', '#FruitWater', '#ad', '#Win', '#Ocean', '#OceanFruitWater', '#Hydration', '#OceanDrinks']",https://instagram.fsxr1-1.fna.fbcdn.net/v/t51.2885-15/475276014_18488819614064508_2062239343977435149_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fsxr1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AH4Iww5wTwfMb1tYJrbwbfRs1jcoPJZ-KWxVrO0OCaT8L-OsruHgTp1GbfTcK2xhZDBZt2ORU1Vc3tpH6xevMCO&_nc_ohc=d6YAKDvPY34Q7kNvgHFCyhu&_nc_gid=d18828fde83d497d9bc5e6025302fb5b&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBviAp4bR9i26sc0OrlXjkT3B1gXEigd0A-seAePacw4g&oe=67C4D6D7&_nc_sid=d885a2
